cell_data.txt
DO NOT INSERT EMPTY LINES. KEEP THE FORMAT AS IT IS
 CELL     TYPE       X          Y      CO 
ETC4826  CT0839   1486.450   1018.200   S
ETC9902  CT0704   1441.860   1066.800  FS
ETM9921  CT0587    501.960   1612.200   S
ETR6583  CT0839   1461.360   1007.400   S
EUA9034  CT0900   1429.380    921.000  FS
EUR6846  CT0587   1687.950   1636.500   N
EUU0192  CT0587   1705.240   1168.500   N
EUZ7940  CT0587   1698.480    772.500   N
EVO9857  CT0587   1695.230    664.500   N
EVS0494  CT0587    498.060   1408.800  FS
EVS3564  CT0306    355.190   1632.900   N
EVW6870  CT0587   1717.720   1204.500   N
EWS7157  CT0704   1410.400    985.800  FS
EXF6091  CT0587    560.590   1610.400   S
EXK6901  CT0587   1684.310    772.500   N
EYA1512  CT0839   1386.870    996.600  FS
EYI1236  CT0623   1603.580    946.200   S
EYJ8488  CT0587    766.770   1614.900  FN
EYK0404  CT0587    737.520   1601.400   S
EYK9901  CT0918   1160.800   1272.000  FS
EYL7748  CT0587   1717.720   1708.500   N
EYM7617  CT0198   1441.860    915.600  FS
EYX0310  CT0130   1485.020   1050.600   S
EZE8593  CT0198   1429.250    969.600  FS
EZL7453  CT0623   1691.460   1470.900  FN
EZP5427  CT0198   1191.350   1293.600  FS
FAD7069  CT0587   1690.290   1672.500   N
FAD9579  CT0900   1522.720   1023.600   S
FAW3608  CT0589   1466.170   1012.800   S
FAY9804  CT0019   1721.100    988.500   N
FAZ9713  CT0587   1707.450   1240.500  FN
FBA2555  CT0587    806.030   1604.100  FN
FBE8234  CT0587    408.360   1409.700  FN
FBG0892  CT0587    483.240   1150.500  FN
FBI6677  CT0587   1696.530   1060.500   N
FCE8402  CT0704   1042.630   1277.400  FS
FCI0353  CT0918   1116.340   1255.800  FS
FDB8589  CT0284   1211.110   1304.400  FS
FDE7963  CT0704   1041.070   1315.200  FS
FDL0124  CT0120   1472.280    928.200  FS
FDU5320  CT0561    345.570    995.700  FN
FDV7716  CT0847   1380.240    996.600   S
FDW8954  CT0623   1698.740   1497.900   N
FDX3101  CT0587    401.470   1016.400   S
FDZ3505  CT0918   1154.560   1293.600  FS
FEA8812  CT0587    738.170   1600.500  FN
FEK3649  CT0587    602.970   1601.400   S
FEU2828  CT0587    360.520    996.600   S
FGI5023  CT0587   1692.500    592.500   N
FGL9622  CT0704   1455.900   1110.000   S
FGM3792  CT0623   1721.490    937.200   S
FHF9570  CT0587   1709.790    772.500   N
FHK8403  CT0855   1753.080   1197.300  FN
FHL0765  CT0587   1724.740   1564.500  FN
FHQ1349  CT0064   1036.650   1277.400  FS
FHT1212  CT0587    646.000   1749.900  FN
FIA2853  CT0918   1137.010   1282.800  FS
FIC3205  CT0839   1354.370    975.000   S
FIP0369  CT0587    540.050   1607.700  FN
FIW7741  CT0587   1691.200   1420.500   N
FJC5755  CT0587   1710.960   1096.500   N
FJD9584  CT0198   1673.130   1492.500  FN
FJH7725  CT0806   1110.880   1282.800   S
FJP1870  CT0198   1673.390    664.500  FN
FJS3730  CT0587    408.100   1442.100  FN
FJS5260  CT0587   1709.920   1744.500   N
FKD0802  CT0839   1528.440   1018.200   S
FKS5023  CT0704   1537.540    964.200   S
FKV8602  CT0196   1025.730   1309.800  FS
FLG9618  CT0839   1043.020   1299.000   S
FLV6443  CT0623    341.020   1001.100  FN
FLW3348  CT0587   1718.890    844.500   N
FLZ8878  CT0576   1362.690   1018.200   S
FMA2831  CT0623   1600.070    938.100   N
FMP0865  CT0629   1670.140    628.500   N
FMX3968  CT0839   1504.130   1012.800  FS
FMX5317  CT0704   1416.640    926.400   S
FNB3439  CT0587   1692.890   1636.500   N
FND6223  CT0704   1422.230    942.600   S
FNE1303  CT0845   1170.030   1600.500  FN
FNK4304  CT0839   1383.750    867.000  FS
FNM2663  CT0887   1722.920    897.600   S
FNO9986  CT0176    961.770   1288.200   S
FNP3647  CT0587   1714.990   1456.500   N
FNQ4206  CT0587    601.410   1600.500  FN
FNQ7052  CT0587   1706.540    628.500   N
FOA7715  CT0587    789.130   1600.500  FN
FOR1164  CT0284   1192.650   1315.200   S
FPG9263  CT0900   1074.610   1331.400  FS
FPK1005  CT0587    498.060   1443.000  FS
FPM9165  CT0631   1515.700    926.400  FS
FPT3028  CT0839   1362.300    980.400  FS
FPV9603  CT0839   1481.120    985.800  FS
FQA0400  CT0839   1480.600   1002.000  FS
FQA6563  CT0198   1460.450    926.400  FS
FQF3137  CT0587   1678.720    520.500   N
FQJ5604  CT0587   1716.810   1168.500   N
FQK2153  CT0587   1698.480    700.500   N
FQN9809  CT0631    925.110   1288.200   S
FQO6660  CT0587   1719.800   1744.500   N
FQY0688  CT0587   1711.350    916.500   N
FRF7512  CT0965   1475.270    888.600   S
FRK5552  CT0587   1702.250   1348.500  FN
FRQ7373  CT0900   1142.730   1255.800   S
FRU3606  CT0425   1600.070    599.700   N
FSH9890  CT0589   1472.280   1002.000  FS
FSN8181  CT0587   1718.500   1168.500   N
FSQ7285  CT0623   1603.450    957.000  FS
FSV9193  CT0845   1174.710   1604.100   N
FTC4737  CT0587   1707.970    916.500   N
FTM4783  CT0587    489.740   1577.100  FN
FTS8612  CT0587   1687.430    880.500   N
FTX9653  CT0587   1688.340   1060.500   N
FUW1780  CT0587    643.920   1600.500  FN
FUZ7645  CT0704    887.280   1277.400   S
FVC7199  CT0587   1701.600    772.500   N
FVH6859  CT0587    363.250   1058.700  FN
FVI0047  CT0198   1172.500   1304.400  FS
FVK2619  CT0267   1038.340   1342.200   S
FVS7274  CT0704   1422.750    883.200   S
FVU5977  CT0587   1724.480   1240.500  FN
FVU8642  CT0130   1413.910    904.800  FS
FVY1381  CT0806   1123.490   1309.800   S
FWD4783  CT0078   1370.100    948.000   S
FWH9547  CT0918   1136.490   1277.400  FS
FWK6930  CT0198   1416.770    964.200  FS
FWP5543  CT0064   1383.490    953.400  FS
FWT2061  CT0587    348.300   1010.100  FN
FXA5902  CT0918   1510.500   1120.800   S
FXC4813  CT0587   1690.940    772.500   N
FXC5290  CT0587    705.930   1631.100  FN
FXG9775  CT0704   1468.380   1110.000  FS
FXI9466  CT0587   1691.850   1564.500   N
FXM6666  CT0704   1527.270    861.600   S
FXO0948  CT0587    477.130   1113.600   S
FXQ1464  CT0587   1687.950   1492.500   N
FXQ2237  CT0064   1173.800   1326.000  FS
FXW0081  CT0587    444.500   1458.300  FN
FXZ4074  CT0587    388.470   1054.200   S
FYI0494  CT0587   1711.870   1672.500  FN
FYP0569  CT0198   1217.090   1299.000   S
FYR5214  CT0150   1423.270    980.400  FS
FYS0223  CT0623   1600.070    937.200   S
FYU9120  CT0704   1486.190   1072.200   S
FZC1292  CT0587   1686.520   1420.500   N
FZH2574  CT0587   1714.730    844.500   N
FZN6412  CT0704   1523.760   1131.600  FS
FZU3301  CT0587   1710.050    736.500   N
GAF3596  CT0623    341.670    984.900  FN
GAI4102  CT0629   1670.010   1528.500   N
GAJ4074  CT0196   1483.980   1120.800  FS
GAT2532  CT0587    671.870   1668.900  FN
GAX4179  CT0587    498.190   1479.000  FS
GBF2299  CT0839   1380.240    975.000   S
GBL0297  CT0587    354.540   1103.700  FN
GBL7988  CT0587    360.520   1561.800   S
GBS6141  CT0196   1386.350   1023.600   S
GCC5597  CT0587    413.040   1633.800   S
GCE1201  CT0839   1390.120    867.000   S
GCF7504  CT0900   1430.290    958.800  FS
GDB4694  CT0839   1481.250    904.800  FS
GDD8716  CT0806    992.840   1293.600  FS
GDF5592  CT0587    796.150   1602.300  FN
GDK3367  CT0921   1600.850    705.000  FS
GEI3604  CT0587    589.580   1602.300  FN
GEK6971  CT0078   1367.500    894.000   S
GEL3202  CT0198   1178.480   1288.200  FS
GEN5759  CT0918   1381.670   1050.600   S
GFH1460  CT0839   1531.040   1023.600   S
GFH8230  CT0150   1086.960   1293.600  FS
GFJ7009  CT0802   1005.190   1272.000   S
GFP7385  CT0078   1460.320    953.400   S
GGD3613  CT0587   1689.380    700.500   N
GGD4262  CT0587   1701.210   1024.500   N
GGD4553  CT0704   1404.160   1029.000   S
GGF3468  CT0839   1472.410   1018.200   S
GGH8442  CT0918   1080.850   1336.800  FS
GGO4495  CT0306    493.770    956.100  FN
GGO7180  CT0587   1724.480   1708.500  FN
GGR6751  CT0587   1712.780   1024.500   N
GGS5904  CT0306   1685.090   1415.100  FN
GHP4598  CT0887    864.400   1272.000  FS
GHT6723  CT0587    436.180   1056.900  FN
GHV2895  CT0704   1030.280   1277.400   S
GHZ3877  CT0704   1517.780   1099.200  FS
GIF8091  CT0198   1486.190   1104.600   S
GIL2035  CT0704   1030.410   1293.600  FS
GIR9737  CT0847   1335.780   1012.800   S
GJA8280  CT0839   1392.590    953.400   S
GJF8111  CT0587    511.840   1607.700  FN
GJH1774  CT0587    609.340   1601.400   S
GJH7851  CT0587    784.970   1605.900  FN
GJJ8131  CT0631   1515.570    915.600  FS
GJZ8427  CT0900   1190.310   1282.800  FS
GKE6477  CT0794   1525.840    921.000   S
GKN4587  CT0629    785.230   1600.500  FN
GKR2530  CT0918   1104.510   1255.800  FS
GLM2071  CT0587    498.060   1378.200   S
GLS0021  CT0587    576.970   1600.500  FN
GLX8193  CT0629   1670.530    736.500   N
GLY5784  CT0587   1704.720    844.500   N
GNA3356  CT0900   1428.340    948.000   S
GNC7342  CT0587   1680.410    520.500   N
GNN7800  CT0150   1522.330   1104.600   S
GNP9747  CT0019   1720.710    916.500  FN
GOM1479  CT0587    446.840   1058.700  FN
GOM4459  CT0306   1115.040   1643.700   N
GOS6995  CT0306   1064.990   1775.100   N
GPL5448  CT0587    365.590   1430.400   S
GPQ5983  CT0198    498.450   1206.300   N
GPW5967  CT0623    496.500   1246.800   S
GQD0946  CT0064   1036.910   1320.600   S
GQD8839  CT0587   1698.350    556.500   N
GQH9836  CT0587    353.890   1017.300  FN
GQK7841  CT0150   1130.120   1272.000  FS
GQQ2196  CT0587   1714.340   1276.500   N
GRA4381  CT0064   1411.440   1050.600   S
GRD0246  CT0587   1693.540    988.500   N
GRD7491  CT0900   1435.880    964.200   S
GRR1008  CT0587   1698.350    592.500   N
GRU0191  CT0587    438.780   1049.700  FN
GSB9204  CT0587    729.980   1632.000   S
GSC4157  CT0182   1517.260    883.200  FS
GSQ7867  CT0561    348.820    985.800  FS
GTH5825  CT0587   1694.580   1636.500   N
GTL1367  CT0900   1076.820   1315.200  FS
GTQ6580  CT0918   1154.950   1266.600   S
GTV4840  CT0587   1715.120   1528.500  FN
GUA3454  CT0631    943.180   1282.800  FS
GUA4270  CT0802   1011.040   1336.800   S
GUG3921  CT0587   1703.420   1528.500   N
GUL2640  CT0587   1679.110    880.500   N
GUQ8048  CT0900   1363.730   1029.000   S
GUZ6850  CT0196   1024.430   1293.600   S
GVN8032  CT0918   1411.180   1034.400  FS
GVW4988  CT0064   1167.040   1320.600  FS
GWF8333  CT0587    564.230   1600.500  FN
GWQ2989  CT0623   1698.480   1506.900   N
GWT6816  CT0839   1515.310    948.000  FS
GXF9616  CT0918   1066.810   1309.800  FS
GXN9119  CT0623   1602.280    918.300   N
GXO3680  CT0704   1366.200    937.200   S
GXS6645  CT0587    377.810   1020.000   S
GXT6893  CT0589   1363.210    991.200   S
GXV9813  CT0129   1510.370   1088.400  FS
GYE9971  CT0587   1701.730   1132.500   N
GYM2857  CT0900   1380.110    904.800   S
GYQ2083  CT0198   1456.290    904.800  FS
GYS9353  CT0839   1454.340   1072.200  FS
GZE4970  CT0587   1720.060   1384.500   N
HAC6820  CT0806   1386.480    948.000   S
HAF9761  CT0587   1674.820   1672.500   N
HAG9712  CT0198   1436.010    953.400   S
HAM9796  CT0150   1524.410   1050.600  FS
HAU8074  CT0587    724.130   1600.500  FN
HBA8405  CT0597   1721.100    664.500   N
HBB7904  CT0150   1104.510   1299.000  FS
HBB9391  CT0587   1686.000   1384.500   N
HBC5746  CT0019    343.880   1039.800   S
HBE1187  CT0587    595.950   1600.500  FN
HBO2347  CT0704   1130.120   1315.200   S
HBP0662  CT0704   1537.280    953.400   S
HBP9255  CT0704   1536.760   1137.000   S
HBR7626  CT0704   1537.020   1023.600  FS
HBU0100  CT0561   1706.540   1600.500  FN
HCF8226  CT0631    954.880   1277.400   S
HCU7601  CT0900   1366.590    926.400   S
HCZ9639  CT0587    398.220   1020.900  FN
HDE4609  CT0855    494.420    840.900   N
HDE8655  CT0704   1531.560    888.600  FS
HDF9324  CT0587   1686.260   1132.500   N
HDG6280  CT0587    368.840   1001.100  FN
HEI1284  CT0918   1166.520   1288.200   S
HEI7275  CT0064   1460.450    937.200  FS
HEJ9222  CT0587   1714.730    772.500   N
HEM0282  CT0198   1356.970   1023.600   S
HEQ2575  CT0587   1712.390    664.500   N
HER6910  CT0623   1603.450    974.100  FN
HES1464  CT0587    688.120   1680.600   S
HET4686  CT0587   1712.780   1564.500   N
HFB2453  CT0587   1723.050   1312.500  FN
HFE9248  CT0623    354.020   1636.500   N
HFI3663  CT0587   1679.760    916.500   N
HFM7156  CT0198   1173.280   1315.200   S
HFW6597  CT0587    377.810   1027.200   S
HGI0092  CT0031   1698.610   1491.600  FS
HGN7782  CT0623   1604.490    985.800   S
HGW2046  CT0839   1410.790    899.400   S
HHD1211  CT0587   1675.990    916.500   N
HHN0913  CT0587   1714.860   1744.500  FN
HHV8811  CT0587    370.920   1110.000   S
HHW5336  CT0218   1510.500    883.200  FS
HHX1281  CT0198   1441.860    926.400  FS
HIC2084  CT0900   1423.400    931.800   S
HIE0862  CT0587   1704.850    952.500   N
HIE5905  CT0587   1674.690   1636.500   N
HIE6252  CT0198    497.930   1248.600  FS
HIE9469  CT0587   1677.030   1708.500   N
HII0686  CT0587    485.190   1222.500  FN
HII2383  CT0587    460.360   1158.600   S
HII4469  CT0704   1516.740   1110.000  FS
HIT7452  CT0631    954.750   1288.200   S
HIU7779  CT0019   1720.060    556.500  FN
HIW2547  CT0587    470.110   1135.200   S
HJF7367  CT0587   1682.620    700.500   N
HJH2339  CT0819   1435.750    931.800   S
HJU1913  CT0623   1715.250    898.500   N
HJX8941  CT0130   1525.320    964.200  FS
HKD2319  CT0806   1404.030   1002.000   S
HKJ8946  CT0587   1682.750    736.500   N
HKK2362  CT0587   1712.910    556.500   N
HKP0797  CT0623   1601.630    885.900   N
HKY4305  CT0587   1680.670   1168.500   N
HKZ4259  CT0704   1525.190   1056.000   S
HLA3737  CT0587   1677.680    736.500   N
HLB1244  CT0587    496.370   1236.900  FN
HLN2283  CT0150   1524.410   1099.200   S
HLO0899  CT0900   1077.080   1347.600  FS
HLO6362  CT0587   1676.510   1672.500   N
HLQ2930  CT0587   1698.350    952.500   N
HLQ9100  CT0196   1423.270    964.200   S
HLS2929  CT0704   1142.340   1277.400  FS
HLV1490  CT0587    828.260   1604.100  FN
HLZ0669  CT0587   1721.750   1456.500   N
HMI6590  CT0587   1691.200    808.500   N
HMM8363  CT0587   1690.940   1384.500   N
HMN3691  CT0587    792.380   1601.400   S
HMS3063  CT0704   1467.080   1083.000  FS
HNA0397  CT0587   1705.760    988.500   N
HNI5326  CT0198   1674.300    520.500  FN
HNL2139  CT0704   1360.350    899.400  FS
HNU8583  CT0704   1466.560   1056.000  FS
HOA5168  CT0150   1072.400   1309.800   S
HOJ0263  CT0587   1700.820   1060.500   N
HOL8935  CT0587    353.630    993.000   S
HOV1745  CT0587   1677.550    772.500   N
HPD1780  CT0794   1474.620    894.000   S
HPG8790  CT0198   1515.570   1072.200   S
HPM0846  CT0704   1142.470   1288.200  FS
HQF0912  CT0623   1600.200    966.900  FN
HQF9092  CT0629    497.280   1229.700   N
HQP9386  CT0839   1503.870    948.000  FS
HQV8788  CT0918   1429.510   1050.600   S
HQY4914  CT0704   1080.070   1282.800   S
HQZ0984  CT0587   1707.970    592.500   N
HRO9784  CT0587   1696.010    844.500   N
HRR9195  CT0587    456.330   1052.400   S
HSA1134  CT0589   1389.340    899.400   S
HTE5845  CT0064   1422.750    872.400  FS
HTF2170  CT0623   1600.720    975.000   S
HTI5935  CT0839   1518.300    996.600   S
HTK8976  CT0150   1530.650   1066.800  FS
HTN8554  CT0839    993.100   1282.800  FS
HTO1824  CT0150   1083.060   1353.000   S
HTP0194  CT0589   1370.360    975.000   S
HTP6287  CT0587   1680.930    592.500   N
HTU6860  CT0704   1466.950   1104.600  FS
HUD0427  CT0623   1603.840    978.600   S
HUH2324  CT0587    729.460   1601.400   S
HUL3506  CT0064   1380.240    942.600  FS
HUO8665  CT0587    495.460   1140.600   S
HUV3180  CT0587   1696.010    952.500   N
HUV8287  CT0587   1705.110   1456.500  FN
HVA3712  CT0839   1367.500    964.200  FS
HVC0978  CT0587   1694.710   1204.500   N
HVG0142  CT0078   1386.740    958.800  FS
HVL4411  CT0704   1435.620    888.600   S
HVN8322  CT0626   1515.960   1039.800   S
HVQ2781  CT0587   1709.660    808.500   N
HVQ8204  CT0587   1696.010    700.500   N
HWA7436  CT0587   1695.750   1096.500   N
HWG7590  CT0847   1472.410    964.200   S
HWW4248  CT0623   1600.330    716.700  FN
HXA4093  CT0182   1518.170    942.600  FS
HXC7002  CT0587   1686.390   1456.500   N
HXE9934  CT0839   1386.350    969.600  FS
HXL0599  CT0587   1702.900   1024.500   N
HXT4818  CT0019    357.530   1633.800   S
HYC8025  CT0198   1111.010   1261.200   S
HYM2538  CT0031   1374.520   1002.000  FS
HYN2052  CT0587   1686.520    628.500   N
HYQ1549  CT0587    497.280   1582.500  FN
HYQ1551  CT0587    491.040   1243.200   S
HYX7893  CT0704    876.880   1288.200   S
HZC2833  CT0064   1123.880   1304.400  FS
HZE7045  CT0587   1713.040    628.500   N
HZM4372  CT0587    464.520   1570.800   S
HZM9995  CT0704    873.500   1282.800   S
HZP7152  CT0587    396.530   1020.900  FN
IAD3515  CT0031   1429.380   1061.400   S
IAK1372  CT0587   1698.870   1060.500   N
IAN8165  CT0576   1510.890   1045.200  FS
IAT9133  CT0629   1670.140   1708.500   N
IAV6720  CT0198   1460.190    883.200  FS
IAW9831  CT0587   1690.030   1708.500   N
IBB1550  CT0629   1670.140   1492.500   N
IBH1784  CT0918   1154.430   1331.400  FS
IBI8954  CT0623   1603.190    980.400   S
IBP5380  CT0587   1688.730   1276.500   N
IBQ7696  CT0587   1679.890   1240.500   N
IBT1159  CT0623   1719.930    998.400   S
IBU5578  CT0284   1454.080   1056.000   S
IBW7039  CT0031   1504.000   1050.600  FS
ICA3373  CT0587   1677.550   1528.500   N
ICE1579  CT0587   1679.890   1672.500   N
ICK7071  CT0623   1602.540    942.600  FS
ICP9005  CT0587    386.520   1013.700  FN
ICR8869  CT0587    444.370   1066.800   S
ICW5757  CT0587   1703.290   1132.500   N
IDI2949  CT0587    493.900   1213.500  FN
IEB8617  CT0198   1441.860    964.200   S
IED6493  CT0587    522.760   1615.800   S
IEK2381  CT0150   1167.170   1347.600  FS
IEQ2591  CT0704   1516.480   1115.400   S
IES0771  CT0839   1036.780   1266.600  FS
IEV6390  CT0839   1472.540    953.400   S
IFB7675  CT0631   1480.080    872.400   S
IFC4173  CT0587   1714.600    808.500   N
IFK9214  CT0019   1701.470   1636.500  FN
IFP7936  CT0918   1473.580   1077.600   S
IFQ5438  CT0337    943.050   1293.600  FS
IGG0607  CT0130   1459.410    964.200  FS
IGG4120  CT0704   1532.340    948.000   S
IGG8210  CT0561   1695.620   1276.500   N
IGI4553  CT0587    683.830   1651.800   S
IGI6827  CT0587    438.000   1153.200   S
IGN4577  CT0587   1713.560   1672.500   N
IHG7807  CT0198   1523.890   1066.800  FS
IHK1980  CT0587    573.720   1600.500  FN
IHQ0629  CT0704   1530.130   1126.200   S
IHZ0280  CT0587   1674.690   1204.500   N
IIA0111  CT0587    490.650   1186.500  FN
IIC7340  CT0587   1721.880   1528.500  FN
IIV1258  CT0064   1104.510   1342.200  FS
IIY3724  CT0587    658.480   1600.500  FN
IIY6248  CT0561   1724.870    808.500  FN
IIY6830  CT0587   1690.940    700.500   N
IJM5472  CT0587   1700.040   1600.500   N
IJS3246  CT0839   1528.700   1029.000   S
IJW8482  CT0704   1429.250    985.800   S
IKA7697  CT0587    498.190   1531.200   S
IKB4948  CT0198    498.450   1242.300   N
IKD4485  CT0704   1104.510   1304.400   S
IKD9643  CT0587   1681.450   1492.500   N
IKR3505  CT0704   1536.110    867.000   S
ILF8088  CT0587   1684.700   1168.500   N
ILK2989  CT0587    494.550   1245.000   S
ILM1791  CT0918   1032.100   1342.200   S
IMK1256  CT0587   1708.490   1672.500  FN
IML7830  CT0900   1509.720   1061.400   S
IMT5867  CT0196   1366.720    921.000  FS
IMU9455  CT0587   1699.520   1492.500  FN
IMX3516  CT0734   1794.420   1713.900   N
INB1158  CT0587   1684.440   1384.500   N
INZ6836  CT0587   1711.350   1132.500   N
IOA8966  CT0587   1707.580   1060.500   N
IOM5448  CT0284   1509.720   1072.200   S
IOQ9204  CT0587   1714.340   1204.500   N
IOT2263  CT0587    374.040   1626.600   S
IPO5828  CT0839   1512.970    964.200   S
IPO9114  CT0130   1368.410    904.800   S
IPQ6265  CT0587   1678.070    556.500   N
IPS1566  CT0918   1004.930   1282.800   S
IPS9986  CT0587    495.200   1225.200   S
IPV1291  CT0597    355.060   1396.200   S
IQB9554  CT0150   1441.990    883.200  FS
IQK5650  CT0704   1428.860   1002.000  FS
IQX5653  CT0587   1684.830   1744.500   N
IRD6384  CT0802   1440.950   1007.400   S
IRK8735  CT0802   1435.100   1056.000  FS
IRR6948  CT0587   1696.010    592.500   N
IRT3138  CT0587   1698.350    628.500   N
IRV1644  CT0587   1689.380    772.500   N
IRY7748  CT0425    932.650    300.000   S
IRY8997  CT0587    686.040   1600.500  FN
ISA3713  CT0587    451.390   1610.400   S
ISE4971  CT0629    497.280   1207.200   S
ISM9520  CT0198   1179.000   1277.400   S
ISV4432  CT0587   1678.070   1348.500   N
ISY5820  CT0587    435.660   1083.900  FN
ITF9790  CT0839   1342.020    969.600   S
ITX1359  CT0150   1422.490    921.000   S
ITY1824  CT0587   1706.800   1456.500   N
ITY2715  CT0587   1677.420    880.500   N
ITY7461  CT0031   1374.260    904.800  FS
IUH0377  CT0587    692.410   1602.300  FN
IUQ4058  CT0918   1410.530    991.200   S
IUS9082  CT0900   1166.260   1304.400  FS
IUV5795  CT0839   1510.370   1007.400  FS
IUZ1551  CT0587   1714.470   1564.500  FN
IVW9701  CT0587    749.870   1600.500  FN
IVZ1901  CT0587   1706.930   1168.500   N
IWD3507  CT0198   1385.830   1018.200  FS
IWH9077  CT0064   1417.420   1050.600  FS
IWJ0393  CT0284   1373.610    921.000  FS
IWM7316  CT0587    738.560   1626.600   S
IWV3070  CT0587   1683.140    808.500   N
IWW0169  CT0587   1718.630   1348.500  FN
IXA0073  CT0587   1693.670   1276.500   N
IXM5137  CT0587   1717.460   1060.500   N
IYJ6842  CT0587   1706.280    592.500   N
IYL8991  CT0587    360.520   1396.200   S
IYQ0993  CT0587    622.860   1600.500  FN
IYT4965  CT0176   1537.280    985.800   S
IYZ5295  CT0623   1600.200    984.900  FN
IZA4843  CT0704   1168.990   1261.200   S
IZB7988  CT0623   1719.670    989.400   S
IZH1648  CT0587    373.780   1432.200   S
IZS5240  CT0561   1724.480    556.500  FN
IZV2000  CT0561   1709.400   1204.500  FN
JAE1546  CT0587   1712.910   1708.500  FN
JAF6061  CT0839   1503.870    910.200  FS
JAG9304  CT0623   1164.310   1601.400  FS
JAK0500  CT0587   1678.980   1744.500   N
JAO3004  CT0196   1426.130    953.400  FS
JAQ1449  CT0587    569.300   1659.000  FS
JAS9629  CT0306    444.890   1120.800  FS
JAW1596  CT0587    493.900   1255.800   S
JBD7981  CT0839   1410.530    872.400  FS
JBE6434  CT0587   1688.210   1168.500   N
JBG0876  CT0704   1172.630   1293.600  FS
JBJ2791  CT0078   1465.520    996.600   S
JBL6479  CT0587    378.720   1044.300  FN
JBO6834  CT0218   1520.640    937.200  FS
JBQ7315  CT0078   1377.900    953.400  FS
JBW2215  CT0623   1602.410    982.200   S
JCJ9604  CT0704   1531.690    980.400   S
JCK4212  CT0918   1030.150   1288.200   S
JCL7940  CT0900   1179.390   1299.000   S
JCU7733  CT0587    817.470   1601.400   S
JDD2186  CT0839   1474.100    921.000   S
JDD2218  CT0587   1694.320    700.500   N
JDI1433  CT0587   1716.550    700.500   N
JDQ6581  CT0198    857.900   1272.000   S
JEG7165  CT0918   1531.560    899.400   S
JEJ1203  CT0587   1699.650    664.500   N
JEP0353  CT0019   1691.460   1744.500   N
JEU0908  CT0284   1429.510    964.200   S
JFF6569  CT0587   1707.450   1348.500   N
JFJ7568  CT0587   1712.780   1384.500   N
JFL7551  CT0182    912.240   1288.200  FS
JGK0274  CT0233    356.620   1170.300   N
JHA4148  CT0587    555.390   1600.500  FN
JHA5560  CT0587   1692.500   1348.500   N
JHH5619  CT0587   1687.820    916.500   N
JHL3844  CT0839   1513.230    985.800   S
JHQ9837  CT0587    479.210   1207.200   S
JHU8195  CT0587   1719.930   1456.500  FN
JHX2123  CT0587   1699.910    556.500   N
JIE4471  CT0587    811.750   1602.300  FN
JIE5889  CT0587   1674.820   1600.500   N
JIJ4638  CT0176   1503.870    915.600  FS
JIM0395  CT0587   1709.660   1492.500   N
JIX9961  CT0078   1523.890    942.600   S
JIY9911  CT0629   1670.140   1312.500   N
JJB7510  CT0198   1673.130    844.500  FN
JJC1723  CT0587   1678.070    916.500   N
JJJ4585  CT0587   1720.970   1312.500  FN
JJY0026  CT0198   1673.000   1600.500  FN
JJY0222  CT0704   1473.190   1072.200  FS
JKH0672  CT0587   1701.600    952.500   N
JKH2821  CT0587    732.710   1617.600   S
JKR8436  CT0306   1796.890    937.200  FS
JKT9712  CT0182    913.020   1266.600  FS
JLR1973  CT0589   1483.850    996.600   S
JLY1814  CT0196   1481.250   1110.000  FS
JMF0956  CT0391   1510.110   1050.600   S
JMG2582  CT0064   1410.400    926.400  FS
JML1483  CT0587   1707.970    844.500   N
JML4524  CT0561    662.640   1756.200   S
JMP6250  CT0845   1162.750   1603.200   S
JMQ0256  CT0704    880.260   1282.800  FS
JNI5463  CT0839   1480.340    915.600   S
JNJ3537  CT0064   1043.020   1331.400   S
JNL5955  CT0597    358.700   1635.600   S
JNT0097  CT0150   1110.100   1255.800  FS
JNU1207  CT0198   1057.580   1315.200   S
JNX3759  CT0587   1724.350   1600.500  FN
JOP3357  CT0623   1724.350    902.100   N
JOZ3649  CT0064   1043.020   1320.600  FS
JPA9134  CT0806   1110.620   1336.800  FS
JPB5982  CT0587   1685.610    520.500   N
JPF4793  CT0623    496.500   1255.800  FS
JPF6629  CT0198   1453.950    926.400  FS
JPO5927  CT0587   1687.040   1276.500   N
JPP7135  CT0587   1689.380   1600.500   N
JQB3953  CT0900   1154.430   1250.400  FS
JQK7807  CT0587   1721.750   1384.500  FN
JQO3393  CT0176   1537.280    937.200  FS
JQO3424  CT0248    347.000    986.700  FN
JQZ9963  CT0587    490.000   1215.300  FN
JRC6089  CT0130   1373.480    964.200  FS
JRE3447  CT0704   1404.030    964.200  FS
JRM6109  CT0587    360.260   1011.900  FN
JRO4490  CT0589   1525.450    985.800   S
JRV7415  CT0918   1172.500   1288.200   S
JRY8224  CT0587   1693.150   1024.500   N
JSC9320  CT0918   1404.550   1039.800   S
JSF8293  CT0839   1392.590    942.600   S
JSP8842  CT0587   1689.250    952.500   N
JSQ0082  CT0198   1673.130   1456.500  FN
JST5578  CT0198   1673.130   1636.500  FN
JSZ8031  CT0587    815.000   1604.100  FN
JTA8970  CT0306   1628.020   1372.800  FS
JTC0979  CT0587   1711.610    700.500   N
JTK2585  CT0704   1410.010    975.000  FS
JTL7489  CT0839   1036.780   1261.200   S
JUA6146  CT0019   1722.400    592.500  FN
